# Frequency: Uniform between 2.5 and 3.25 GHz
# Current: Uniform between -500 and 500 mA, but anything with an
# abs. value less than 10 mA is clamped to 0
9.946597856469452381e-07,5.569345375988632441e-07,7.823146006558090448e-07,6.519294402096420527e-07,2.140193828381597996e-06,4.898793122265487909e-07,2.307831891812384129e-06,6.668306014034897089e-07,1.179061655420809984e-06,1.428656105417758226e-06,1.475222234148532152e-06,7.525122782681137323e-07,7.413364073727279902e-07,4.135090421186760068e-07,9.425020834896713495e-07,7.078087946865707636e-07,9.015238902065902948e-07,5.606598278973251581e-07,4.936046025250107050e-07,8.828974387142807245e-07,1.091517333406955004e-06,9.816212696023285389e-07,5.066431185696274042e-07,4.712510417448356748e-07,1.259155396837741137e-06,3.613549779402092099e-07,7.431990525219589472e-07,1.519925717730075121e-06,3.948825906263664365e-07,7.096714398358017206e-07,1.166023139376193285e-06,1.408167008776217699e-06,4.563498805509880185e-07,1.376502041239291430e-06,9.890718501992523670e-07,2.032160409726202488e-06,8.810347935650497675e-07,2.104798113577999175e-07,1.139946107286959887e-06,6.016380211804062128e-07,1.631684426683932543e-06,7.860398909542709589e-07,7.152593752834945917e-07,1.084066752810031176e-06,2.291068085469305515e-06,1.057989720720797777e-06,9.574068826623260975e-07,8.493698260281234980e-07,8.903480193112045527e-07,6.742811820004135370e-07,9.834839147515594959e-07,8.828974387142807245e-07,9.574068826623260975e-07,2.533215592848137021e-07,1.495711330790072680e-06,5.662477633450180292e-07,2.224012860096991062e-06,1.154844539996702224e-07,1.896180037874728441e-06,8.326060196850448847e-07
8.400566002819687128e-07,4.693883965956047177e-07,8.046663424465805292e-07,4.731136868940666318e-07,1.527376298326998949e-06,1.583255652803927660e-06,1.011423591990023851e-06,3.203767846571281552e-07,7.767266652081161737e-07,1.365326170343905687e-06,1.482672814745455980e-06,7.562375685665756464e-07,6.835944077465683222e-07,1.247981344931758940e-07,1.166023139376193285e-06,2.477336238371208310e-07,4.712510417448356748e-07,6.295776984188705683e-07,8.028036972973495722e-07,1.171611074823886156e-06,7.394737622234970331e-07,6.463415047619491816e-07,9.629948181100189686e-07,5.941874405834823847e-07,7.003582140896469355e-07,4.898793122265487909e-07,1.244254235643893480e-06,7.916278264019638300e-07,8.698589226696640253e-07,7.264352461788803339e-07,8.698589226696640253e-07,1.955786501639522612e-07,5.662477633450180292e-07,1.149259333033114672e-06,2.644974301801994443e-07,1.678250555414706469e-06,4.414487193571403623e-07,1.428656105417758226e-06,1.139946107286959887e-06,1.013286237139254808e-06,1.640997652430087328e-06,1.976281055249273777e-06,7.879025361035019159e-07,5.066431185696274042e-07,1.411892299074679613e-06,1.309446815866976976e-06,5.718356987927109003e-07,6.929076334927231073e-07,1.069165591616183519e-06,8.009410521481186152e-07,1.261018041986972094e-06,1.654036168474704027e-06,9.648574632592499256e-07,9.853465599007904530e-07,1.069165591616183519e-06,2.309689079993404448e-07,2.060100086964666843e-06,8.884853741619735956e-07,1.203276042360812426e-06,5.401707312557846308e-07
9.667201084084808826e-07,1.490125214331783354e-07,2.570468495832756162e-07,7.525122782681137323e-07,1.275919203180819750e-06,1.100830559153109789e-06,9.182876965496689081e-07,6.519294402096420527e-07,1.732269083731807768e-07,1.849613909143954515e-06,1.555315975565463305e-06,5.513466021511703730e-07,6.631053111050277948e-07,5.587971827480942011e-07,2.045198925770819187e-06,3.017503331648185849e-07,4.805660864803940058e-07,5.662477633450180292e-07,1.557178620714694262e-06,9.983850759454071522e-07,9.127006705966778100e-08,6.817317625973373652e-07,5.029178282711654902e-07,9.965224307961761951e-07,7.972157618496567011e-07,8.698589226696640253e-07,1.784421328920871019e-06,7.320231816265732050e-07,1.478947524446994066e-06,5.997753760311752558e-07,8.363313099835067987e-07,8.270180842373520136e-07,1.396992956870235503e-07,1.281507138628512621e-06,5.960500857327133417e-07,1.402579073328524828e-06,1.480810169596225023e-06,1.130632881540805101e-06,1.266605977434664965e-06,5.755609890911728144e-07,1.730404619593173265e-06,1.868240360636264086e-06,1.540414814371615648e-06,7.823146006558090448e-07,1.290820364374667406e-06,3.743934939848259091e-07,9.257382771465927362e-07,2.007946022786200047e-06,1.665212039370089769e-06,1.663349394220858812e-06,8.586830517742782831e-07,2.942997525678947568e-07,7.897651812527328730e-07,2.142056473530828953e-06,1.974412953131832182e-07,6.519303497043438256e-08,1.540414814371615648e-06,3.799814294325187802e-07,2.043336280621588230e-06,1.382089976686984301e-06
1.352287654299288988e-06,5.196816346142441034e-07,5.699730536434799433e-07,1.091517333406955004e-06,7.730013749096542597e-07,1.562766556162387133e-06,3.390032361494377255e-07,5.066431185696274042e-07,6.500667950604110956e-07,1.456595782656222582e-06,1.544140104670077562e-06,3.520417521940544248e-07,1.678250555414706469e-06,2.030292307608760893e-07,1.849613909143954515e-06,5.345827958080917597e-07,2.458709786878898740e-07,8.679962775204330683e-07,3.483164618955925107e-07,1.341111783403903246e-06,9.965224307961761951e-07,5.159563443157821894e-07,1.534826878923922777e-06,1.080338734027463943e-07,1.249842171091586351e-06,5.029178282711654902e-07,9.629948181100189686e-07,8.437818905804306269e-07,6.668306014034897089e-07,1.497573975939303637e-06,4.284102033125236630e-07,6.575173756573349237e-07,1.028187398333102465e-06,7.543749234173446894e-07,8.028036972973495722e-07,3.501791070448234677e-07,6.798691174481064081e-07,1.121319655794650316e-06,1.402579073328524828e-06,2.980250428663566709e-07,1.888729457277804613e-06,3.948825906263664365e-07,9.704453987069427967e-07,9.574068826623260975e-07,2.112254151143133640e-06,1.177199010271579027e-06,3.986078809248283505e-07,1.614920620340853930e-06,1.600019459147006273e-06,1.499436621088534594e-06,1.193962816614657640e-06,1.668937329668551683e-06,1.162297849077731371e-06,1.423068169970065355e-06,6.426162144634872675e-07,1.082204107660800219e-06,1.041225914377719164e-06,5.476213118527084589e-07,1.721091393847018480e-06,1.683838490862399340e-06
1.095242623705416918e-06,8.437818905804306269e-07,6.798691174481064081e-07,4.544872354017570615e-07,8.977985999081283808e-07,8.083916327450424433e-07,5.699730536434799433e-07,6.072259566280990839e-07,4.656631062971428037e-07,1.056127075571566820e-06,1.741580490488559008e-06,1.695016180747188628e-07,1.460321072954684496e-06,5.364454409573227167e-07,2.084314473904669285e-06,2.048918759101070464e-07,7.059461495373398066e-07,6.035006663296371698e-07,3.892946551786735654e-07,9.853465599007904530e-07,1.773245458025485277e-06,6.314403435681015253e-07,5.867368599865585566e-07,4.358607839094474912e-07,9.089744708035141230e-07,4.097837518202140927e-07,5.383080861065536737e-07,7.674134394619613886e-07,8.977985999081283808e-07,7.059461495373398066e-07,6.109512469265609980e-07,2.663600753294304013e-07,8.214301487896591425e-07,7.841772458050400019e-07,8.586830517742782831e-07,5.681104084942489862e-07,8.028036972973495722e-07,7.897651812527328730e-07,2.548113116063177586e-06,8.512324711773544550e-07,6.705558917019516230e-07,8.866227290127426386e-07,9.331888577435165644e-07,1.640997652430087328e-06,2.969070919789373875e-06,1.329935912508517504e-06,1.382089976686984301e-06,2.354398020543158054e-06,1.855201844591647387e-06,1.590706233400851488e-06,3.278273652540519834e-07,1.797459844965487719e-06,6.035006663296371698e-07,1.028187398333102465e-06,4.749763320432975888e-07,5.718356987927109003e-07,1.456595782656222582e-06,3.911573003279045224e-07,2.350672730244696140e-06,2.060100086964666843e-06
6.742811820004135370e-07,5.550718924496322870e-07,6.705558917019516230e-07,5.587971827480942011e-07,8.512324711773544550e-07,1.071028236765414476e-06,1.756481651682406664e-06,7.674134394619613886e-07,1.415617589373141527e-06,8.903480193112045527e-07,1.564629201311618090e-06,4.004705260740593076e-07,1.573942427057772875e-06,5.401707312557846308e-07,1.076616172213107347e-06,2.589094947325065732e-07,1.028187398333102465e-06,1.093379978556185961e-06,6.482041499111801386e-07,1.059852365870028734e-06,1.408167008776217699e-06,1.003973011393100023e-06,6.947702786419540644e-07,3.166514943586662412e-07,1.313172106165438890e-06,1.018874172586947680e-06,9.387767931912094355e-07,1.048676494974642992e-06,1.812361006159335375e-06,8.065289875958114862e-07,1.380227331537753344e-06,1.899907147162593901e-07,4.954672476742416620e-07,8.698589226696640253e-07,6.575173756573349237e-07,1.993039404624141753e-07,9.369141480419784784e-07,7.525122782681137323e-07,2.635657438077032566e-06,2.127155312336981297e-06,1.063577656168490648e-06,3.837067197309806943e-07,1.426793460268527269e-06,5.010551831219345331e-07,2.289205440320074558e-06,1.767657522577792406e-06,1.877553586382418871e-06,1.773245458025485277e-06,1.136220816988497972e-06,1.555315975565463305e-06,7.990784069988876581e-07,1.832850102800875902e-06,2.868491719709709287e-07,6.482041499111801386e-07,1.136220816988497972e-06,1.164160494226962328e-06,2.160682925023138523e-06,9.480900189373642206e-07,7.469243428204208612e-07,7.003582140896469355e-07
5.532092473004013300e-07,5.736983439419418573e-07,1.030050043482333422e-06,6.258524081204086542e-07,3.222394298063591123e-07,7.767266652081161737e-07,5.587971827480942011e-07,2.197930371039547026e-07,4.824287316296249628e-07,1.175336365122348070e-06,1.160435203928500414e-06,6.426162144634872675e-07,1.275919203180819750e-06,9.071118256542831659e-07,1.110143784899264574e-06,2.570468495832756162e-07,1.424930815119296312e-06,7.301605364773422480e-07,7.245726010296493769e-07,1.534826878923922777e-06,1.210726622957736254e-06,1.121319655794650316e-06,3.799814294325187802e-07,7.785893103573471308e-07,5.140936991665512323e-07,1.309446815866976976e-06,4.526245902525261045e-07,1.370914105791598558e-06,8.884853741619735956e-07,1.076616172213107347e-06,6.016380211804062128e-07,1.208863977808505297e-06,7.357484719250351191e-07,4.638004611479118466e-07,4.787034413311630487e-07,4.265475581632927060e-07,1.130632881540805101e-06,1.329935912508517504e-06,1.415617589373141527e-06,1.527376298326998949e-06,6.239897629711776972e-07,4.060584615217521787e-07,7.003582140896469355e-07,4.712510417448356748e-07,2.557426341809332371e-06,2.248227247036993504e-06,2.728789695538580418e-06,1.184649590868502855e-06,1.251704816240817308e-06,1.203276042360812426e-06,5.029164640291128308e-08,6.947702786419540644e-07,1.044951204676181078e-06,8.959359547588974237e-07,6.519294402096420527e-07,1.236803655046969652e-06,1.456595782656222582e-06,9.760333341546356678e-07,9.182876965496689081e-07,1.771382812876254320e-06
1.741580490488559008e-06,8.475071808788925409e-07,5.550718924496322870e-07,1.411892299074679613e-06,8.232927939388900995e-07,3.688055585371330380e-07,9.704453987069427967e-07,7.450616976711899042e-07,2.831238816725090146e-07,1.881278876680880785e-06,4.842900125368032604e-08,9.536815923638641834e-07,1.937160050147213042e-07,9.462273737881332636e-07,9.276009222958236933e-07,2.868491719709709287e-07,1.324347977060824633e-06,5.420333764050155878e-07,1.057989720720797777e-06,6.146765372250229120e-07,9.685827535577118397e-07,9.592695278115570545e-07,5.997753760311752558e-07,1.797459844965487719e-06,1.784421328920871019e-06,9.294635674450546503e-07,1.443557266611605883e-06,7.990784069988876581e-07,5.811489245388656855e-07,7.841772458050400019e-07,1.005835656542330980e-06,9.611321729607880116e-07,1.082204107660800219e-06,8.642709872219711542e-07,6.426162144634872675e-07,4.861540219280868769e-07,5.569345375988632441e-07,1.285232428926974535e-06,1.288957719225436449e-06,1.212589268106967211e-06,1.955791958607733250e-06,1.311309461016207933e-06,1.277781848330050707e-06,9.294635674450546503e-07,1.475222234148532152e-06,1.706190232653170824e-06,1.741580490488559008e-06,3.688055585371330380e-07,4.600751708494499326e-07,2.693399437703192234e-06,1.017011527437716722e-06,1.542277459520846605e-06,7.264352461788803339e-07,1.054264430422335863e-06,9.238756319973617792e-07,1.367188815493136644e-06,1.056127075571566820e-06,1.663349394220858812e-06,5.178189894650131464e-07,1.126907591242343187e-06
1.965105184353888035e-06,9.741706890054047108e-07,1.482672814745455980e-06,4.544872354017570615e-07,6.016380211804062128e-07,7.040835043881088495e-07,6.258524081204086542e-07,1.080341462511569262e-06,3.073382686125114560e-07,9.276009222958236933e-07,6.780064722988754511e-07,3.427285264478996396e-07,1.182786945719271898e-06,9.443647286389023066e-07,4.041958163725212216e-07,8.698589226696640253e-07,8.754468581173568964e-07,1.279644493479281664e-06,1.076616172213107347e-06,6.854570528957992792e-07,7.823146006558090448e-07,4.488992999540641904e-07,4.004705260740593076e-07,1.307584170717746019e-06,1.549728040117770433e-06,1.121319655794650316e-06,6.128138920757919550e-07,1.130632881540805101e-06,1.687563781160861254e-06,5.271322152111679316e-07,1.065440301317721605e-06,1.089654688257724047e-06,1.028187398333102465e-06,1.125044946093112230e-06,3.948825906263664365e-07,9.089744708035141230e-07,7.152593752834945917e-07,5.662477633450180292e-07,5.308575055096298456e-07,8.717215678188949823e-07,9.518153092358261347e-07,1.246116880793124437e-06,2.067545210593380034e-07,8.698589226696640253e-07,1.104555849451571703e-06,1.052401785273104906e-06,2.849861630238592625e-06,2.253815182484686375e-06,2.682227204786613584e-07,2.745553501881659031e-06,1.415617589373141527e-06,1.644722942728549242e-06,6.277150532696396112e-07,1.098967914003878832e-06,5.699730536434799433e-07,1.035637978930026293e-06,6.202644726727157831e-07,6.649679562542587519e-07,9.071118256542831659e-07,1.145534042734652758e-06
1.775108103174716234e-06,8.773095032665878534e-07,6.537920853588730097e-07,5.867368599865585566e-07,1.356012944597750902e-06,6.128138920757919550e-07,4.749763320432975888e-07,4.060584615217521787e-07,3.855693648802116513e-07,6.165391823742538691e-07,1.020736817736178637e-06,1.110143784899264574e-06,5.848742148373275995e-07,1.560903911013156176e-06,1.123182300943881273e-06,1.069165591616183519e-06,7.450616976711899042e-07,1.853339199442416430e-06,4.600751708494499326e-07,1.464046363253146410e-06,4.153716872679069638e-07,5.140936991665512323e-07,1.246116880793124437e-06,1.076616172213107347e-06,9.983850759454071522e-07,1.305721525568515062e-06,4.638004611479118466e-07,1.357875589746981859e-06,1.501299266237765551e-06,4.712510417448356748e-07,4.470366548048332334e-07,5.215442797634750605e-07,1.257292751688510180e-06,1.888729457277804613e-06,4.973298928234726191e-07,8.493698260281234980e-07,8.940733096096664667e-07,1.354150299448519945e-06,4.582125257002189755e-07,7.282978913281112909e-07,2.868491719709709287e-07,2.026572474278509617e-06,2.253809725516475737e-07,9.872092050500214100e-07,1.093379978556185961e-06,2.849865268217399716e-07,2.421453245915472507e-06,2.078726538456976414e-06,1.518063072580844164e-06,1.773245458025485277e-06,1.514337782282382250e-06,2.060100086964666843e-06,8.381939551327377558e-07,1.164160494226962328e-06,1.220039848703891039e-06,7.040835043881088495e-07,1.357875589746981859e-06,3.967452357755973935e-07,8.884853741619735956e-07,9.723080438561737537e-07
